Inst,Op2,Op1,Op0,RFa3,RFa2,RFa1,RFa0,RFb3,RFb2,RFb1,RFb0,Rd3,Rd2,Rd1,Rd0,Ra,Rb,Rc,A,B,C,Ca,Mr,Mw,Mt,J,S,T,H,SF2,SF1,SF0
add,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,0,0,0,X,0,0,0,0,X,X,X
sub,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,~(RFB/I),X,1,0,0,X,0,0,0,0,X,X,X
and,0,0,1,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,X,0,0,X,0,0,0,0,X,X,X
or,0,1,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,X,0,0,X,0,0,0,0,X,X,X
shl,1,1,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,X,0,0,X,0,0,0,0,X,X,X
shr,1,0,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,X,0,0,X,0,0,0,0,X,X,X
sar,1,0,1,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,X,0,0,X,0,0,0,0,X,X,X
xor,0,1,1,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,X,0,0,X,0,0,0,0,X,X,X
s.cond,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,0,0,0,RFa,RFb,X,RFA,~(RFB/I),X,1,0,0,X,0,1,0,0,I2,I1,I0
as.z,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,0,0,0,X,0,1,0,0,0,0,0
as.nz,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,0,0,0,X,0,1,0,0,0,0,1
jmp,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,0,0,0,RFa,RFb,X,RFA,RFB/I,X,0,0,0,X,1,0,0,0,X,X,X
ldw,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,0,1,0,0,0,0,0,0,X,X,X
ldiw,0,0,0,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,0,1,0,1,0,0,0,0,X,X,X
sex,1,1,1,0,I5,I4,I3,0,I9,I8,I7,0,I2,I1,I0,RFa,RFb,X,RFA,RFB/I,X,X,0,0,X,0,0,0,0,X,X,X
stiw,0,0,0,0,I5,I4,I3,0,I2,I1,I0,0,0,0,0,RFa,0,RFb,RFA,SPI,RFB,0,0,1,1,0,0,0,0,X,X,X
ldw.i0,0,0,0,0,I5,I4,I3,0,0,0,0,0,I2,I1,I0,RFa,RFb,X,RFA,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
ldw.i1,0,0,0,0,I5,I4,I3,0,0,0,0,0,I2,I1,I0,RFa,RFb,X,RFA,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
ldw.i2,0,0,0,0,I5,I4,I3,0,0,0,0,0,I2,I1,I0,RFa,RFb,X,RFA,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
ldw.i3,0,0,0,0,I5,I4,I3,0,0,0,0,0,I2,I1,I0,RFa,RFb,X,RFA,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
stw.i0,0,0,0,0,I5,I4,I3,0,I2,I1,I0,0,0,0,0,RFa,0,RFb,RFA,s7imm,RFB,0,0,1,0,0,0,0,0,X,X,X
stw.i1,0,0,0,0,I5,I4,I3,0,I2,I1,I0,0,0,0,0,RFa,0,RFb,RFA,s7imm,RFB,0,0,1,0,0,0,0,0,X,X,X
stw.i2,0,0,0,0,I5,I4,I3,0,I2,I1,I0,0,0,0,0,RFa,0,RFb,RFA,s7imm,RFB,0,0,1,0,0,0,0,0,X,X,X
stw.i3,0,0,0,0,I5,I4,I3,0,I2,I1,I0,0,0,0,0,RFa,0,RFb,RFA,s7imm,RFB,0,0,1,0,0,0,0,0,X,X,X
lcr,0,0,0,1,I5,I4,I3,0,0,0,0,0,I2,I1,I0,RFa,RFb,X,RFA,RFB,X,0,0,0,X,0,0,0,0,X,X,X
scr,0,0,0,0,I5,I4,I3,0,0,0,0,1,I2,I1,I0,RFa,RFb,X,RFA,RFB,X,0,0,0,X,0,0,0,0,X,X,X
iret,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,RFa,0,RFb,RFA,0,RFB|1,0,1,1,X,1,0,0,0,X,X,X
halt,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,RFa,RFb,X,X,X,X,X,0,0,X,0,0,0,1,X,X,X
lui,1,1,0,0,0,0,0,0,0,0,0,0,I2,I1,I0,RFa,RFb,X,s8imm,8,X,X,0,0,X,0,0,0,0,X,X,X
addi,0,0,0,0,0,0,0,0,I2,I1,I0,0,I2,I1,I0,RFa,RFb,X,s8imm,RFB,X,0,0,0,X,0,0,0,0,X,X,X
trap,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,RFa,RFb,X,X,X,X,0,0,0,X,0,0,1,0,X,X,X
jmp.i,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RFa,RFb,X,s11imm,RFB,X,0,0,0,X,1,0,0,0,X,X,X