Inst,D_Op[2],D_Op[1],D_Op[0],D_RFa[3],D_RFa[2],D_RFa[1],D_RFa[0],D_RFb[3],D_RFb[2],D_RFb[1],D_RFb[0],D_Rd[3],D_Rd[2],D_Rd[1],D_Rd[0],D_Ra,D_Rb,D_Rc,D_A,D_B,D_C,D_Ca,D_Mr,D_Mw,D_Mt,D_J,D_S,D_T,D_H,D_SF[2],D_SF[1],D_SF[0]
add,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,0,0,0,X,0,0,0,0,X,X,X
sub,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,~(RFB_I),X,1,0,0,X,0,0,0,0,X,X,X
and,0,0,1,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,X,0,0,X,0,0,0,0,X,X,X
or,0,1,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,X,0,0,X,0,0,0,0,X,X,X
shl,1,1,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,X,0,0,X,0,0,0,0,X,X,X
shr,1,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,X,0,0,X,0,0,0,0,X,X,X
sar,1,0,1,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,X,0,0,X,0,0,0,0,X,X,X
xor,0,1,1,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,X,0,0,X,0,0,0,0,X,X,X
s.cond,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,0,0,0,D_RFa,D_RFb_I,X,R_A,~(RFB_I),X,1,0,0,X,0,1,0,0,I[2],I[1],I[0]
as.z,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,0,0,0,X,0,1,0,0,0,0,0
as.nz,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,0,0,0,X,0,1,0,0,0,0,1
jmp,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,0,0,0,D_RFa,D_RFb_I,X,R_A,RFB_I,X,0,0,0,X,1,0,0,0,X,X,X
ldw,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,0,1,0,0,0,0,0,0,X,X,X
ldiw,0,0,0,0,I[5],I[4],I[3],0,I[9],I[8],I[7],0,I[2],I[1],I[0],D_RFa,D_RFb_I,X,R_A,RFB_I,X,0,1,0,1,0,0,0,0,X,X,X
sex,1,1,1,0,I[5],I[4],I[3],0,0,0,0,0,I[2],I[1],I[0],D_RFa,X,X,R_A,X,X,X,0,0,X,0,0,0,0,X,X,X
stiw,0,0,0,0,I[5],I[4],I[3],0,I[2],I[1],I[0],0,0,0,0,D_RFa,0,D_RFb,R_A,SPI,R_B,0,0,1,1,0,0,0,0,X,X,X
ldw.i0,0,0,0,0,I[5],I[4],I[3],0,0,0,0,0,I[2],I[1],I[0],D_RFa,D_RFb,X,R_A,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
ldw.i1,0,0,0,0,I[5],I[4],I[3],0,0,0,0,0,I[2],I[1],I[0],D_RFa,D_RFb,X,R_A,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
ldw.i2,0,0,0,0,I[5],I[4],I[3],0,0,0,0,0,I[2],I[1],I[0],D_RFa,D_RFb,X,R_A,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
ldw.i3,0,0,0,0,I[5],I[4],I[3],0,0,0,0,0,I[2],I[1],I[0],D_RFa,D_RFb,X,R_A,s7imm,X,0,1,0,0,0,0,0,0,X,X,X
stw.i0,0,0,0,0,I[5],I[4],I[3],0,I[2],I[1],I[0],0,0,0,0,D_RFa,0,D_RFb,R_A,s7imm,R_B,0,0,1,0,0,0,0,0,X,X,X
stw.i1,0,0,0,0,I[5],I[4],I[3],0,I[2],I[1],I[0],0,0,0,0,D_RFa,0,D_RFb,R_A,s7imm,R_B,0,0,1,0,0,0,0,0,X,X,X
stw.i2,0,0,0,0,I[5],I[4],I[3],0,I[2],I[1],I[0],0,0,0,0,D_RFa,0,D_RFb,R_A,s7imm,R_B,0,0,1,0,0,0,0,0,X,X,X
stw.i3,0,0,0,0,I[5],I[4],I[3],0,I[2],I[1],I[0],0,0,0,0,D_RFa,0,D_RFb,R_A,s7imm,R_B,0,0,1,0,0,0,0,0,X,X,X
lcr,0,0,0,1,I[5],I[4],I[3],0,0,0,0,0,I[2],I[1],I[0],D_RFa,D_RFb,X,R_A,R_B,X,0,0,0,X,0,0,0,0,X,X,X
scr,0,0,0,0,I[5],I[4],I[3],0,0,0,0,1,I[2],I[1],I[0],D_RFa,D_RFb,X,R_A,R_B,X,0,0,0,X,0,0,0,0,X,X,X
iret,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,D_RFa,0,D_RFb,R_A,0,R_B|1,0,1,1,X,1,0,0,0,X,X,X
halt,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,D_RFa,D_RFb,X,X,X,X,X,0,0,X,0,0,0,1,X,X,X
lui,1,1,0,0,0,0,0,0,0,0,0,0,I[2],I[1],I[0],D_RFa,D_RFb,X,s8imm,8,X,X,0,0,X,0,0,0,0,X,X,X
addi,0,0,0,0,0,0,0,0,I[2],I[1],I[0],0,I[2],I[1],I[0],D_RFa,D_RFb,X,s8imm,R_B,X,0,0,0,X,0,0,0,0,X,X,X
trap,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,D_RFa,D_RFb,X,X,X,X,0,0,0,X,0,0,1,0,X,X,X
jmp.i,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,D_RFa,D_RFb,X,s11imm,R_B,X,0,0,0,X,1,0,0,0,X,X,X